similarity,ticks_size,padding,_1_size,trade_type,height,width,match_pt
0.9999999403953552,8,3,9,buy_in_profit,22,93,"1268,664"
0.7441368103027344,8,3,9,sl,16,77,"1593,1057"
0.7397511601448059,8,3,9,buy_in_profit,23,97,"1340,693"
0.7321245074272156,8,3,9,sl,17,82,"1101,1011"
0.7298967242240906,8,3,9,sl,18,87,"1204,853"
0.711279034614563,8,3,9,sl,20,96,"1202,852"
0.7094213366508484,8,3,9,buy_in_profit,21,88,"1269,664"
0.7093316912651062,8,3,9,sl,21,101,"1201,851"
0.7062753438949585,8,3,9,sl,19,92,"1203,852"
0.6939812898635864,8,3,9,sl,22,106,"1200,850"
0.6921941041946411,8,3,9,sl,24,116,"1556,1004"
0.6917592287063599,8,3,9,sl,23,111,"1558,1005"
0.6860432028770447,8,3,9,sl,25,121,"1555,1003"
0.6387914419174194,8,3,9,buy_in_profit,24,101,"1266,663"
0.6291511654853821,8,3,9,sell_in_profit,22,94,"1341,693"
0.6105190515518188,8,3,9,buy_in_profit,20,84,"1270,664"
0.5606233477592468,8,3,9,buy_in_profit,19,80,"1271,664"
0.5410263538360596,8,3,9,buy_in_profit,18,76,"1272,664"
0.5399425029754639,8,3,9,buy_in_profit,25,105,"1338,692"
0.5384027361869812,8,3,9,sell_in_loss,18,76,"230,72"
0.5363261699676514,8,3,9,sell_in_loss,19,80,"229,72"
0.5326319336891174,8,3,9,sell_in_loss,17,71,"1301,1048"
0.5281735062599182,8,3,9,buy_in_loss,19,83,"867,1055"
0.5271869897842407,8,3,9,buy_in_loss,17,74,"869,1057"
0.5240044593811035,8,3,9,buy_in_loss,18,78,"868,1056"
0.5218001008033752,8,3,9,buy_in_loss,16,70,"870,1058"
0.5210918188095093,8,3,9,buy_in_loss,20,87,"866,1054"
0.5210075378417969,8,3,9,sell_in_loss,16,67,"1301,1049"
0.5208561420440674,8,3,9,sell_in_loss,20,84,"226,71"
0.5204420685768127,8,3,9,buy_in_loss,25,109,"198,70"
0.5118207335472107,8,3,9,buy_in_loss,24,105,"200,70"
0.5117030739784241,8,3,9,sell_in_loss,21,88,"223,71"
0.5039777755737305,8,3,9,buy_in_loss,23,100,"202,71"
0.49981391429901123,8,3,9,buy_in_loss,22,96,"205,71"
0.4929147958755493,8,3,9,buy_in_profit,16,67,"1348,697"
0.484889954328537,8,3,9,buy_in_loss,21,92,"865,1053"
0.4797779619693756,8,3,9,buy_in_profit,17,71,"1347,696"
0.4784371852874756,8,3,9,sell_in_profit,23,98,"1267,663"
0.47297605872154236,8,3,9,sell_in_loss,22,93,"221,71"
0.4658352732658386,8,3,9,sell_in_profit,21,89,"1341,693"
0.4632713198661804,8,3,9,sell_in_loss,23,97,"220,70"
0.4517606794834137,8,3,9,sell_in_profit,16,68,"254,998"
0.4512668550014496,8,3,9,sell_in_loss,25,105,"388,75"
0.4433329999446869,8,3,9,sell_in_loss,24,101,"388,75"
0.4272609353065491,8,3,9,sell_in_profit,17,72,"252,998"
0.4214724600315094,8,3,9,sell_in_profit,24,102,"1338,692"
0.41626855731010437,8,3,9,sell_in_profit,20,85,"1341,693"
0.39954873919487,8,3,9,sell_in_profit,18,76,"250,998"
0.39459478855133057,8,3,9,sell_in_profit,19,81,"1341,693"
0.3615958094596863,8,3,9,sell_in_profit,25,106,"1338,691"
